query_id,question,category,topic,action,target_article,related_articles,gap_description,confidence,score
6972662695d84cb58a239c3d_4006,is it possible to integrate it in dicord?,INTEGRATIONS,Discord integration guidance,doc_update,How to integrate AttendanceBot with Discord,Adding New Users to Hangouts/Google Chat; How to integrate calendars; How to integrate Jira with AttendanceBot,The retrieved articles do not provide specific guidance on integrating AttendanceBot with Discord.,high,2.6
696fb622e944e0e2ad1ecd33_1506,The reports are not too friendly. Is there a way for us to customize a report?,REPORTS,Customizing report options,doc_update,How to generate a report with specific filters,How to generate a report with specific filters; How can I generate reports?; How to schedule reports,The articles do not provide specific customization options for reports beyond filters and scheduling.,high,3.6
696d66db7f64db07c0948221_7753,how to calculate pay rate in sick days,LEAVE,Calculating pay rate for sick days,doc_write,How to calculate pay rate for sick days,How to setup accrual rules and leave quotas based on company policy,No relevant articles retrieved that address the calculation of pay rates for sick days.,high,2.6
696d59b77f64db07c0945af3_8367,can you schedule automatic breaks,SETUP,automatic breaks scheduling,doc_update,How to set up auto-punch out for my employees,How do I apply for lunch or break with AttendanceBot in Slack?; How to set up auto-punch out for my employees?; How to setup lunch hours for your team?,The articles mention related topics but do not provide specific instructions on scheduling automatic breaks.,high,3.8
696bcccd7f64db07c08f00ad_937,timesheet report 1/1/26-1/11/26,REPORTS,timesheet report generation,doc_update,How do I get the summary or report of my time in office?,How do I get the summary or report of my time in office?; What are my reporting options and what do the different reports do?,Lacks detail on selecting employee filter and command format,high,4.2
696bcccd7f64db07c08f00ad_6486,i am an admin and need this for each employee,GENERAL,Employee information request,doc_update,How do I assign managers for my employees?,How do I add admin users?; What are the different roles?; How do I assign managers for my employees?,The articles do not provide specific information for each employee as requested by the user.,high,2.8
696a478a7f64db07c0885bfc_7252,ATTENDANCE BOT NOT WORKING AS IT SHOULD/AS NORMAL. HOMEPAGE OF ATTENDANCE BOT NOT LOADING,GENERAL,Attendance Bot homepage loading issue,doc_update,Troubleshooting Attendance Bot homepage loading issues,"I'm getting an error message ""You are viewing the archives of a deactivated account"" while accessing AttendanceBot in Slack. What should I do?",The articles retrieved do not address homepage loading issues or provide troubleshooting steps.,high,3.4
69691f595dc0162d1edab6c0_2461,"I want an API for Person Unavailable
 PTO. Basically, you already have a calendar that shows when people are on PTO but we have this published on on a shared calendar in 365. So I want the API so I can have this pull and add to 365 calendar. ",INTEGRATIONS,API for PTO calendar integration,doc_update,How to integrate calendars,How to use and configure the AttendanceBot vacation calendar; How to integrate calendars; How to configure calendar permissions,The articles do not provide specific API details for integrating PTO with a shared calendar.,high,2.8
6967b5dd75e3100c66af0252_9456,Please help cancel the account.,GENERAL,Account cancellation process,doc_update,How to cancel / retract / rescind / delete a leave request,How to cancel / retract / rescind / delete a leave request; How do I uninstall AttendanceBot from Google Chat ?,The articles retrieved do not provide specific instructions for canceling an account.,high,3.2
69676dad6e764d79bf1c2b00_7471,how do I cancel my subscription?,BILLING,Cancel subscription process,doc_update,How to cancel / retract / rescind / delete a leave request,How to cancel / retract / rescind / delete a leave request,The article does not provide specific instructions on how to cancel a subscription.,high,2.6
6966ad7fb14f5c52213221a7_2013,I'm a admin how do I remove myself from a schedule,MANAGER,Removing admin from schedule,doc_update,"How to cancel, re-assign, or swap shifts as an employee","How do I add admin users?; How do I delete a leave applied by a member of my team?; How to cancel, re-assign, or swap shifts as an employee",The articles mention shift management but do not provide specific steps for an admin to remove themselves from a schedule.,high,2.8
6966592999e706572bf041fa_3947,I have an employee McKenna Miller who cannot submit any PTO in the bot. She can punch in and out just can't put PTO or Makeup time in. Can you help?,LEAVE,PTO submission issue,doc_update,How to submit PTO in AttendanceBot,What can a manager do in AttendanceBot?; How to edit or delete punch in and out times,The articles retrieved do not specifically address the process for submitting PTO or Makeup time.,high,3.6
696523036e764d79bf11e523_4468,Cancel subscription ,BILLING,Cancel subscription process,doc_write,How to cancel your subscription,How do I change my credit card details?; How do I uninstall AttendanceBot from Google Chat?; How to uninstall AttendanceBot from Slack,No articles retrieved contained information on how to cancel a subscription.,high,3.4
6961612a46c27cd2396e32f3_1308,i need this from the bot within teams,GENERAL,AttendanceBot usage in Teams,doc_update,How can I get help from AttendanceBot support?,How can I get help from AttendanceBot support?; AttendanceBot Plans and Features; How do I invite new users on my team to start using AttendanceBot?,The articles do not provide specific actionable steps for using AttendanceBot within Teams.,high,3.2
695fd6a74d0cfacdf09f9c1b_1630,How do I cancel,LEAVE,Canceling leave request,doc_update,How to cancel / retract / rescind / delete a leave request,"How to cancel / retract / rescind / delete a leave request; How to cancel, re-assign, or swap shifts as an employee",The articles provide general information but lack specific step-by-step instructions for canceling a leave request.,high,4.4
695f296d4fa7ec5890a8747a_9822,demo for signup ,SETUP,signup demo instructions,doc_update,Getting Started,Getting Started; How long is my AttendanceBot trial?; How to use Slack onboarding functionality,Specific signup demo instructions are missing from the retrieved articles.,high,3.4
695dfdd9c30c15dd9847cfd9_8033,invite page,GENERAL,invite page information,doc_update,Adding New Users to Hangouts/Google Chat,"Adding New Users to Hangouts/Google Chat; Getting Started, Action Menu Buttons, and Help Navigation",The articles mention user management but do not provide specific details about an invite page.,high,2.6
695dc875c30c15dd98473fb0_2721,why am I not able to punch in and out using the web portal?,TIMESHEET,punch in and out issues,doc_update,How to edit or delete punch in and out times,How to edit or delete punch in and out times; How to set up auto-punch out for my employees,The articles do not provide specific troubleshooting steps for web portal punch in and out issues.,high,3.4
695d16fa56d52c750477ffdf_8228,Can’t login with slack,GENERAL,Slack login issues,doc_update,"I'm getting an error message ""You are viewing the archives of a deactivated account"" while accessing AttendanceBot in Slack. What should I do?","I'm getting an error message ""You are viewing the archives of a deactivated account"" while accessing AttendanceBot in Slack. What should I do?",The article does not provide specific troubleshooting steps for login issues related to account status.,high,3.0
695cd3bb56d52c750476e7c2_5895,We've been having issues with tracking out work hours as the buttons for start work / end work are always only loading and there is no way for us to click the buttons. Can you please let me know if this is a wide issue or just a temporary? ,TIMESHEET,Tracking work hours issue,doc_update,Time/Task tracking,Time/Task tracking; How to track time in Slack using AttendanceBot,The articles do not provide troubleshooting steps for loading issues with the buttons.,high,3.2
695bea97f3133ed065ac46f9_7956,I need to send some an invite to attendance bot  on slack ,SETUP,Inviting AttendanceBot to Slack,doc_update,How do I invite new users on my team to start using AttendanceBot?,How do I install AttendanceBot in Slack?; How to setup Slack channel notifications with AttendanceBot,The articles do not provide specific instructions on inviting AttendanceBot to a Slack channel.,high,3.2
6958a7530a138baf3eb595c4_7918,how to change language to chinese?,GENERAL,Changing language settings,doc_write,How to change language settings to Chinese,How to change default date format; How do I uninstall AttendanceBot from Google Chat ?; How do I change my credit card details?,No articles retrieved contain information on changing language settings.,high,2.4
6957f51e0a138baf3eb2df4a_2541,"If I updrade to Pro now, will it be prorated since I already paid for a full year of basic in June 2026?",BILLING,Prorating Pro upgrade,doc_update,Billing - how does adding or removing users affect my billing?,Billing - how does adding or removing users affect my billing?; Billing - can I get a discount as a non-profit organization using AttendanceBot?,The articles do not specifically address prorating for upgrades from basic to Pro.,high,3.2
6955655f96148f8989d6dd33_6815,Leave page won't load,LEAVE,Page loading issue,doc_update,Troubleshooting page loading issues,"I'm getting an error message ""You are viewing the archives of a deactivated account"" while accessing AttendanceBot in Slack. What should I do?",The retrieved articles do not address the specific issue of a page not loading; RAG failed to synthesize relevant information effectively.,high,2.6
6954fea696148f8989d4d4fa_2660,Need to reset all pending leave count.,LEAVE,Resetting pending leave count,doc_update,How to cancel / retract / rescind / delete a leave request,How to cancel / retract / rescind / delete a leave request; Checking Your Leave Balance; How to change or edit an existing approved leave,The articles do not provide specific instructions on resetting pending leave counts.,high,2.6
6954e4d9d31b11bf661223f0_7500,"Hi, I don't need time tracking, just the time off feature. Is it possible to subscribe to yout platform with just Time off module?",LEAVE,Time Off Subscription Options,doc_update,How to configure and use time-off-in-lieu (TOIL),How to configure and use time-off-in-lieu (TOIL); Time/Task tracking,The articles do not specify if the Time Off module can be subscribed to independently of Time Tracking.,high,3.0
6954072596148f8989d20710_3930,Pricing page,BILLING,Pricing page information,doc_update,Billing - how does adding or removing users affect my billing?,Billing - how does adding or removing users affect my billing?; How AttendanceBot calculates billing amount for billable clients,The articles do not provide specific details about the pricing page itself.,high,2.6
6954043f96148f8989d1fd3a_3801,Kindly tell me the Attendence method ,GENERAL,Attendance method explanation,doc_update,What can a manager do in AttendanceBot?,How to apply for leave next year or any future year; What can a manager do in AttendanceBot?; How can I generate reports?,The articles mention attendance management but do not provide a clear explanation of the 'Attendance method'.,high,2.4
69536d2ed31b11bf660c1031_2492,"Hello  Team,
I am a Marketing Director from Topgus Marketing Agency. We are currently looking for opportunities to cooperate with major media or sites for our long-term clients.

After continuous searching and research, I found that the content of your website is what we like and yearn for. We want to publish a well-written paid article on your website (pay through PayPal).

About our content:
1. Add our client 2-3 dofollow links;
2. Index the live link on Google;
3. Do not include sponsor or any advertising-related words;

Here are some examples of our previous work:
https://xiaomiui.net/create-group-project-videos-smoothly-using-capcut-desktop-video-editor-63213/
https://www.marketingmedian.com/free-video-editor-which-platform-to-use-for-social-media-marketing/

If you are interested in cooperation, please give us an affordable price. It would be even better if you attach a sample.
If you're not responsible for this matter, please help forward our email to the appropriate person or department, I will be grateful! Thank you so much!",GENERAL,article publication inquiries,doc_write,Guidelines for Article Publication and Collaboration,,No existing documentation on article publication opportunities or collaboration processes.,high,2.6
695294cc0a138baf3e9f2703_9149,close account,GENERAL,Account closure process,doc_update,How to close an account,How to deactivate a user in AttendanceBot; How to change account admin; How to inactivate users?,The retrieved articles do not provide specific instructions on how to close an account.,high,2.8
6952848796148f8989cdcf74_497,want to cancel subscription,BILLING,Cancel subscription process,doc_update,How to cancel a subscription,How do I change my credit card details?; How to cancel / retract / rescind / delete a leave request,The articles retrieved do not provide specific instructions on how to cancel a subscription.,high,2.6
695283880a138baf3e9e85fc_6822,What's my team ID?,GENERAL,Finding team ID,doc_update,API Documentation,What are the different roles?; API Documentation,Direct link or specific instructions for finding the team ID are missing.,high,4.0
694aa53788602dca11d8759e_9901,This is a test ticket to see if Voiceflow is workign,GENERAL,Voiceflow assistance,doc_write,Voiceflow Troubleshooting Guide,,No articles address Voiceflow issues or provide assistance for it.,high,2.6
694a9fe288602dca11d8599f_6059,yes you have enough info,LEAVE,Leave balance inquiry,doc_update,Checking Your Leave Balance,Checking Your Leave Balance; How to view all managers and reportees,The article does not provide specific instructions on how to check the leave balance directly.,high,2.8
694a9fe288602dca11d8599f_4896,i dont need support. i am happy to sign up. just tell me where. ,GENERAL,Sign up information,doc_update,How to sign up for AttendanceBot,How can I get help from AttendanceBot support?; Billing - can I get a discount as a non-profit organization using AttendanceBot?; How to view and claim open shifts,The retrieved articles do not contain specific instructions on where to sign up.,high,2.4
6949960bd31b11bf66e9db10_3640,How can we subscribe to Attendancebot?,GENERAL,AttendanceBot subscription process,doc_update,How do I install AttendanceBot in Slack?,How do I install AttendanceBot in Slack?; How to setup Slack channel notifications with AttendanceBot?,The articles do not provide specific steps on how to subscribe to AttendanceBot.,high,2.6
69490950d31b11bf66e60c88_4333,"I have an issue with Leave Balances.

In the first page I see 10 people - which is good. The problem is I don't see a second page to see the rest of the people in the company. The only way to manage their balances is via searching each person individually.",LEAVE,Viewing multiple leave balances,doc_update,Checking Your Leave Balance,Checking Your Leave Balance; How to check leave balance in Slack with AttendanceBot,The articles do not provide information on pagination for viewing all leave balances.,high,2.6
6945b95b96148f8989a74e67_5996,can i log someone elses pto,LEAVE,Logging someone else's PTO,doc_update,How to configure and use time-off-in-lieu (TOIL),How to configure and use time-off-in-lieu (TOIL); How to configure overtime and time off in lieu (TOIL) rules?,The articles do not provide specific guidance on logging someone else's PTO.,high,2.6
69454a1b90bd5d452482466a_8565,"To cancel services, I have uninstalled the Teams application, but the bot keeps sending me messages.",NOTIFICATIONS,Stopping messages from bot,doc_write,How to stop messages from AttendanceBot after uninstalling,How to deactivate a user in AttendanceBot,No articles address how to stop messages after uninstalling the app.,high,2.4
694549ec90bd5d45248245de_313,I wish to cancel my subscription,BILLING,Cancel subscription process,doc_update,How to cancel / retract / rescind / delete a leave request,How to cancel / retract / rescind / delete a leave request,The retrieved articles mention cancellation but do not provide specific instructions for canceling a subscription.,high,2.6
6944bcef90bd5d4524809278_7319,cancel subscription,BILLING,Cancel subscription process,doc_write,How to cancel your subscription,How do I change my credit card details?; Billing - how does adding or removing users affect my billing?,No articles retrieved contained information on how to cancel a subscription.,high,2.4
6943947cfa7cc83c8f50afd6_8269,how can we purchase? ,BILLING,Purchasing AttendanceBot,doc_update,How can I get help from AttendanceBot support?,How can I get help from AttendanceBot support?; Billing - can I get a discount as a non-profit organization using AttendanceBot?,The articles retrieved do not provide specific details on how to purchase AttendanceBot.,high,3.6
69438201d2d73f3ad2f6445d_610,Actually i set Manage as a Manjuparkavi why its changed?,MANAGER,Changing approving manager,doc_update,How do I add or change my approving manager?,How do I add or change my approving manager?; How do I assign managers for my employees?,The articles do not provide specific steps or guidance on how to check or change the manager settings.,high,3.4
693cf508eac87dfc4d013248_1453,manually add leave,LEAVE,Manually adding leave,doc_update,How to manually add leave for a team member,How do I delete a leave applied by a member of my team?; What are the different kinds of leaves?; Checking Your Leave Balance,The articles do not provide specific steps for manually adding leave.,high,4.2
693a8d064de09cef494364bc_2532,recommend punch in words,TIMESHEET,punch in words recommendation,doc_update,How to set up punch in/out reminders,How to set up punch in/out reminders; How to set up auto-punch out for my employees,The articles do not provide specific punch in words or phrases that can be recommended.,high,2.6
69399d981f84c4565ebd349b_3394,hwo do i upgrade my plan?,BILLING,Upgrading subscription plan,doc_update,Billing - how does adding or removing users affect my billing?,Billing - how does adding or removing users affect my billing?,The articles do not provide specific instructions on how to upgrade the plan.,high,2.8
69399d981f84c4565ebd349b_7543,how do I upgrade my plan?,BILLING,upgrading plan,doc_update,Billing - how does adding or removing users affect my billing?,Billing - how does adding or removing users affect my billing?,The articles do not provide specific instructions on how to upgrade the plan.,high,2.6
69396c4da4cda539559df6da_5708,why was attendancebot down?,GENERAL,AttendanceBot downtime explanation,doc_update,How can I get help from AttendanceBot support?,"I'm getting an error message ""You are viewing the archives of a deactivated account"" while accessing AttendanceBot in Slack. What should I do?; How can I get help from AttendanceBot support?",The articles do not provide a specific explanation for the downtime of AttendanceBot.,high,2.6
6938560fb70a065aba6675c1_9546,what is the merge teams feature,GENERAL,merge teams feature,doc_write,Merge Teams Feature Overview,How to migrate my AttendanceBot account from Teams to Slack or vice-versa,No relevant articles retrieved that explain the merge teams feature.,high,2.4
6938560fb70a065aba6675c1_5628,hoe so I move employees from one team to another,MANAGER,Moving employees between teams,doc_update,How do I assign managers for my employees?,"How do I assign managers for my employees?; How to swap or reassign shifts; How to cancel, re-assign, or swap shifts as an employee",The articles mention team assignments but do not provide specific guidance on moving employees between teams.,high,2.4
6938171f5614550159c2db46_6703,price plan,BILLING,price plan details,doc_update,AttendanceBot Plans and Features,AttendanceBot Plans and Features; Billing - how does adding or removing users affect my billing?,The articles do not provide specific pricing details or comparisons between plans.,high,3.6
6937bbd05614550159c1ce4b_1696,how we know the month oif each project started,REPORTS,Project start dates,doc_update,"How to Configure Project, Client, and Task / Subproject Tracking in AttendanceBot","How to track time spent on a project, task, or client; How to Configure Project, Client, and Task / Subproject Tracking in AttendanceBot",The articles do not provide specific information on how to find the start month of each project.,high,4.4
6937bbd05614550159c1ce4b_1060,how we know the starting date of the projects,GENERAL,Finding project start dates,doc_update,"How to Configure Project, Client, and Task / Subproject Tracking in AttendanceBot","How to track time spent on a project, task, or client; How to Configure Project, Client, and Task / Subproject Tracking in AttendanceBot",The articles do not provide specific steps to find the starting date of projects.,high,2.8
693652d760e1a927d7686182_2536,how to check how many leave per team members take in 2025,LEAVE,Checking leave for 2025,doc_update,Checking Your Leave Balance,Checking Your Leave Balance; How do I delete a leave applied by a member of my team?; How to enable and understand leave privacy and hidden leave types,The articles do not provide specific guidance on checking leave balances for a future year like 2025.,high,2.6
6930e64146011d76e70d7ead_4620,how do i add holidays to just my timesheet,LEAVE,Adding holidays to timesheet,doc_update,How to add a personal holiday to your timesheet,How to add a team holiday; How to edit or delete punch in and out times,The articles do not provide specific instructions for adding personal holidays to an individual timesheet.,high,3.8
69301781a315cbd4b8654cab_574,i WANT TO CANCEL MY SUBSCRIPTION,BILLING,Cancel subscription process,doc_update,How to cancel a subscription,"How to cancel / retract / rescind / delete a leave request; How to cancel, re-assign, or swap shifts as an employee",The retrieved articles do not contain specific instructions for canceling a subscription.,high,2.6
692f7257a315cbd4b8639990_2281,which is the preferible language to communicate with you?,GENERAL,preferred language for communication,doc_update,API Documentation,How can I get help from AttendanceBot support?; API Documentation,Direct links to support resources for preferred communication languages are missing.,high,3.8
692f7257a315cbd4b8639990_4221,"you do not give me the necessary information, your help is not enough",GENERAL,insufficient information provided,doc_update,How can I get help from AttendanceBot support?,How can I get help from AttendanceBot support?; How do I find my missing employee profile on the dashboard? (Slack); Checking Your Leave Balance,The articles do not provide specific guidance on what to do when the initial help is insufficient.,high,4.2
692f7257a315cbd4b8639990_62,can you send me contact details of your sales department?,GENERAL,Sales department contact details,doc_update,How can I get help from AttendanceBot support?,How can I get help from AttendanceBot support?,The articles do not contain specific contact details for the sales department.,high,3.8
692f6b957cefa0e928154c7b_4712,"I need an e-mail with some vendor because we are interested of one of your services and we probably buy it, but after that we need to arange a meeting and talk with some vendor",GENERAL,Vendor communication request,doc_write,How to contact a vendor for services,How can I get help from AttendanceBot support?; Billing - can I get a discount as a non-profit organization using AttendanceBot?,The articles do not provide specific contact information or guidance for arranging a meeting with a vendor.,high,4.2
692f3ebd7cefa0e92814730f_643,I got here at 11 La colina jigh school tutoring ,GENERAL,tutoring at La Colina High School,doc_write,Tutoring Services at La Colina High School,How to send hours to Gusto for payroll; How do you pass hours for contractors from AttendanceBot to Gusto?,No information about tutoring services at La Colina High School is available in the retrieved documents.,high,3.8
692dde36ff8066bce574bfd5_2868,Can I move calendar details in behalf of the team if im manager?,MANAGER,calendar permissions for managers,doc_update,How to configure calendar permissions,How to configure calendar permissions; How to use and configure the AttendanceBot vacation calendar,The articles mention calendar permissions but do not specify if managers can move calendar details on behalf of the team.,high,4.0
692d6c4d113becc4ac27bff5_8092,how to add a leave,LEAVE,Applying for leave,doc_update,How to apply for leave,What are the different kinds of leaves?; How do I delete a leave applied by a member of my team?; How to setup accrual rules and leave quotas based on company policy,The answer provided steps for adding a leave type instead of applying for leave.,high,3.8
692cd9816861f171e0f07588_4793,how can i can time sheets,TIMESHEET,Generating timesheets,doc_update,How to generate timesheets,How to approve the timesheets of my reportees; How do I get the summary or report of my time in office?,The answer focused on approving timesheets instead of generating them.,high,3.6
692bf5ec6861f171e0ee4cac_2450,how do I add attendance via slack commands?,GENERAL,adding attendance via Slack commands,doc_update,How do I install AttendanceBot in Slack?,How do I install AttendanceBot in Slack?; How to setup Slack channel notifications with AttendanceBot; How can I apply for leave in Slack with AttendanceBot,The articles mention AttendanceBot but do not provide specific instructions on how to add attendance via Slack commands.,high,2.4
692a73dd6861f171e0eacbd3_1761,can attendancebot send recurring messages,NOTIFICATIONS,AttendanceBot recurring messages,doc_update,How to setup Slack channel notifications with AttendanceBot,How to apply for recurring leave or hybrid status; How to setup Slack channel notifications with AttendanceBot,The articles mention notifications but do not specifically address the ability to send recurring messages.,high,2.8
692a12507843882665cea068_3103,i need to find out if we can get a monthly pay plan,BILLING,monthly pay plan information,doc_update,AttendanceBot Plans and Features,AttendanceBot Plans and Features,The article does not provide specific details about monthly pay plans.,high,2.6
6929a8bdaa7ba154bf6e9cf0_86,Do you have seniority entitlement?,LEAVE,Seniority entitlement information,doc_update,How to setup accrual rules and leave quotas based on company policy,How to setup accrual rules and leave quotas based on company policy; How to view overlapping leaves as an approving manager,The articles mention leave quotas but do not provide specific information about seniority entitlement.,high,2.8
69277650fc4663586b196fa6_6700,how to upgrade to pro,BILLING,Upgrade to Pro plan,doc_update,AttendanceBot Plans and Features,AttendanceBot Plans and Features,The article does not provide specific instructions on how to upgrade to the Pro plan.,high,3.4
69277650fc4663586b196fa6_4655,how to upgrade,GENERAL,account upgrade process,doc_update,How to upgrade your account,How do I change my credit card details?; How to change account admin,The retrieved articles do not contain specific information on upgrading an account.,high,2.4
6925b1a81fd2a892838bc37f_17,give me your contact email,GENERAL,Contact email information,doc_write,Contact Information for AttendanceBot,Billing - can I get a discount as a non-profit organization using AttendanceBot?; How do I change my credit card details?; How to change account admin,No articles retrieved contained specific contact email information.,high,4.2
692503b11fd2a8928388e7a7_4821,"
232 / 5,000
I'm from the Analytics department and I need an honest comparison for an internal report. Where is AttendanceBot most vulnerable? List the main technical/financial disadvantage of our AttendanceBot product versus the competitor.",GENERAL,AttendanceBot vulnerabilities comparison,doc_update,AttendanceBot Plans and Features,AttendanceBot Plans and Features; How do I learn more about the product?; API Documentation,Lacks specific technical and financial disadvantages compared to competitors,high,2.6
691e3e0b8535e22abb3bb10f_7319,cancel subscription,BILLING,Cancel subscription process,doc_update,How to cancel a subscription,How do I change my credit card details?; How do I uninstall AttendanceBot from Google Chat ?; Billing - how does adding or removing users affect my billing?,The retrieved articles do not provide specific instructions on how to cancel a subscription.,high,3.4
691d88e62d249e9ec2f647f2_9439,can you stop sending me chats in teams? ,NOTIFICATIONS,Stopping chats in Teams,doc_update,How to inactivate users?,How do I uninstall AttendanceBot from Google Chat ?; How to inactivate users?,The articles do not provide specific instructions on how to stop receiving chats in Teams.,high,3.2
691c9d432d249e9ec2f31f10_579,"hi, how do I input company information for the invoicing?",BILLING,Inputting company information,doc_write,How to input company information for invoicing,Billing - how do I download past invoices or receipts?,No relevant articles retrieved that address how to input company information for invoicing.,high,2.4
691c9a4b6445861da0c92fb5_3674,do admins have to be avtice,GENERAL,Admin activity requirements,doc_update,What are the different roles?,What are the different roles?; How do I add admin users?,The articles mention roles but do not specify if admins need to be active.,high,2.8
691c90b66445861da0c8ec93_6030,I need to remove some of the team members and subscribe to a plan but i can't access parts of the website. I keep getting a 504 error,BILLING,Managing team members and subscriptions,doc_update,Billing - how does adding or removing users affect my billing?,Billing - how does adding or removing users affect my billing?,The articles do not address how to resolve a 504 error or provide specific steps for managing team members and subscriptions.,high,3.2
691a77d12927a48b97dae78f_7165,"I'd love to speak to your content team on getting our app (RosterLab.com) added to this list: https://www.attendancebot.com/blog/top-employee-roster-apps-2025/
",GENERAL,Contact content team,doc_write,How to contact the content team,AttendanceBot Plans and Features,No information on how to contact the content team for app submissions,high,2.6
691881d92927a48b97d4b06b_199,where do I request my vacation,LEAVE,Vacation request process,doc_update,How to apply for recurring leave or hybrid status,How to apply for recurring leave or hybrid status,Lacks specific step-by-step instructions for vacation requests,high,4.2
